id,searchable_name,location_label,map_location,category,convention_id
18595,"Hall B : Upper Deck, Events",ICC : Hall B : Upper Deck,/map?c=27&f=1&lg=90.085078125&lt=-21.72496682941513&s=18595&z=5,Events,27
18596,"Hall B : Iello, Events",ICC : Hall B : Iello,/map?c=27&f=1&lg=92.72179687500001&lt=-21.72496682941513&s=18596&z=5,Events,27
18597,"Hall B : Bandai, Events",ICC : Hall B : Bandai,/map?c=27&f=1&lg=96.676875&lt=-21.72496682941513&s=18597&z=5,Events,27
18598,"Hall B : Roseart Games, Events",location-label: ICC : Hall B : Roseart Games,/map?c=27&f=1&lg=100.63195312500001&lt=-19.400451335927606&s=18598&z=6,Events,27
18599,"Hall B : Lost Boy Entertainment, Events",location-label: ICC : Hall B : Lost Boy Entertainment,/map?c=27&f=1&lg=100.63195312500001&lt=-20.103561605213546&s=18599&z=6,Events,27
18600,"Hall B : LRG Games, Events",ICC : Hall B : LRG Games,/map?c=27&f=1&lg=100.63195312500001&lt=-20.88566601062585&s=18600&z=6,Events,27
18601,"Hall B : UVS Games, Events",ICC : Hall B : UVS Games,/map?c=27&f=1&lg=100.63195312500001&lt=-21.72496682941513&s=18601&z=5,Events,27
18602,"Hall A : No Rails Adventure Team, Events",ICC : Hall A : No Rails Adventure Team,/map?c=27&f=1&lg=108.45202148437502&lt=-14.057725215289993&s=18602&z=5,Events,27
18603,"Hall A : Ottawa Red Shirts, Events",ICC : Hall A : Ottawa Red Shirts,/map?c=27&f=1&lg=107.530400390625&lt=-16.852409208898173&s=18603&z=5,Events,27
18604,"Hall A : Cincinnati Arsenal Gaming, Events",ICC : Hall A : Cincinnati Arsenal Gaming,/map?c=27&f=1&lg=108.54492187500001&lt=-20.138470312451155&s=18604&z=5,Events,27
18605,"Hall A : Wyrd Games, Events",ICC : Hall A : Wyrd Miniatures,/map?c=27&f=1&lg=105.33287109375003&lt=-22.354953005647825&s=18605&z=5,Events,27
18606,"Hall A : Riot Games, Events",ICC : Hall A : Riot Games,/map?c=27&f=1&lg=107.13181640625002&lt=-24.99195308937604&s=18606&z=5,Events,27
18607,"Hall A : Renegade Game Studio, Events",ICC : Hall A : Renegade Game Studio,/map?c=27&f=1&lg=107.13181640625002&lt=-27.201799120603265&s=18607&z=5,Events,27
18608,"Hall A : Catalyst Game Labs, Events",ICC : Hall A : Catalyst Game Labs,/map?c=27&f=1&lg=107.13181640625002&lt=-30.549318703688584&s=18608&z=5,Events,27
18609,"Hall B : Incredible Dream, Events",ICC : Hall B : Incredible Dream,/map?c=27&f=1&lg=99.654345703125&lt=-28.426342862879423&s=18609&z=5,Events,27
18610,"Hall B : Japanime Games, Events",ICC : Hall B : Japanime Games,/map?c=27&f=1&lg=99.654345703125&lt=-30.378713763020215&s=18610&z=6,Events,27
18611,"Hall B : Department of Lore, Events",ICC : Hall B : Department of Lore,/map?c=27&f=1&lg=99.654345703125&lt=-31.02107882218423&s=18611&z=6,Events,27
18612,"Hall B : Rakshasa Games, Events",ICC : Hall B : Rakshasa Games,/map?c=27&f=1&lg=99.654345703125&lt=-31.808643942841616&s=18612&z=6,Events,27
18613,"Hall B : Ghost Galaxy, Events",ICC : Hall B : Ghost Galaxy,/map?c=27&f=1&lg=99.654345703125&lt=-32.552517736899944&s=18613&z=5,Events,27
18614,"Hall B : Erik's Curiosa, Events",ICC : Hall B : Erik's Curiosa,/map?c=27&f=1&lg=96.97719726562505&lt=-29.119610973784923&s=18614&z=5,Events,27
